,lambda,ag_s,ae_s,ae_v,ae_t
3910,3445.122208342522,199.75623175338532,910.45286302196,392.2300904913818,51.328055112066515
3911,3446.8778016170263,199.75268673097142,909.2445343463509,391.4160448779283,51.2456012046358
3912,3448.6342895209687,199.74914544996406,908.041361960448,390.60519471154646,51.1635387233074
3913,3450.391672510238,199.74560790627893,906.8433134593859,389.7975212463766,51.081864937802614
3914,3452.1499510409667,199.742074095836,905.6503567095677,388.9930058818734,51.00057714303243
3915,3453.909125569508,199.7385440145602,904.4624598458453,388.19163016142113,50.91967265881034
3916,3455.6691965524515,199.7350176583812,903.279591268708,387.3933757709506,50.8391488295672
3917,3457.430164446617,199.7314950232333,902.1017196415214,386.5982245375768,50.75900302407112
3918,3459.192029709066,199.72797610505552,900.9288138877874,385.806158428247,50.67923263515005
3919,3460.9547927970834,199.7244608997917,899.7608431884619,385.01715954841626,50.59983507941991
3920,3462.718454168191,199.7209494033903,898.5977769792821,384.2312101407256,50.520807797014626
3921,3464.4830142801425,199.71744161180436,897.4395849481369,383.44829258370027,50.44214825132071
3922,3466.2484735909256,199.71393752099198,896.2862370324693,382.66838939046187,50.363853928715095
3923,3468.014832558762,199.71043712691554,895.1377034167127,381.89148320745636,50.28592233830677
3924,3469.7820916421015,199.70694042554223,893.9939545297578,381.11755681319585,50.20835101168183
3925,3471.5502512996404,199.7034474128441,892.8549610424379,380.3465931170076,50.131137502651136
3926,3473.3193119902967,199.69995808479763,891.7206938650754,379.5785751578129,50.054279387002886
3927,3475.089274173226,199.69647243738422,890.5911241450254,378.8134861029043,49.977774262257235
3928,3476.860138307818,199.69299046658944,889.4662232642718,378.0513092467423,49.90161974742462
3929,3478.6319048536934,199.68951216840406,888.3459628370393,377.2920280097679,49.82581348276722
3930,3480.4045742707167,199.68603753882326,887.230314707438,376.5356259372198,49.75035312956331
3931,3482.178147018977,199.682566573847,886.1192509471471,375.7820866979782,49.675236369875456
3932,3483.952623558802,199.67909926947942,885.0127438531092,375.0313940834096,49.60046090632108
3933,3485.7280043507517,199.67563562172973,883.9107659452683,374.28353200623025,49.52602446184641
3934,3487.504289855623,199.6721756266118,882.8132899643203,373.5384844993779,49.451924779502946
3935,3489.281480534447,199.6687192801438,881.7202888695058,372.79623571490214,49.37815962222739
3936,3491.0595768484854,199.6652665783487,880.6317358364173,372.0567699228623,49.30472677262443
3937,3492.838579259247,199.661817517254,879.5476042548352,371.3200715102339,49.2316240327513
3938,3494.618488228464,199.65837209289188,878.4678677265997,370.5861249798403,49.1588492239071
3939,3496.3993042181073,199.6549303012992,877.3925000634952,369.8549149492809,49.08640018642296
3940,3498.1810276903807,199.65149213851694,876.3214752851668,369.1264261498833,49.01427477945632
3941,3499.9636591077337,199.64805760059141,875.2547676170528,368.400643425651,48.94247088078615
3942,3501.7471989328405,199.6446266835726,874.1923514883625,367.6775517322458,48.870986386613275
3943,3503.531647628615,199.64119938351598,873.1342015300534,366.95713613595984,48.799819211361026
3944,3505.3170056582067,199.6377756964809,872.080292572847,366.23938181270995,48.728967287479534
3945,3507.103273485002,199.63435561853154,871.0305996452629,365.52427404703855,48.658428565252365
3946,3508.8904515726217,199.63093914573668,869.9850979716811,364.8117982311303,48.58820101260562
3947,3510.6785403849244,199.62752627416964,868.9437629704183,364.1019398638321,48.51828261491932
3948,3512.467540386001,199.62411699990798,867.9065702518379,363.394684549692,48.448671374841645
3949,3514.2574520401895,199.6207113190342,866.873495616467,362.69001799799634,48.379365312104404
3950,3516.0482758120543,199.61730922763513,865.844515053156,361.98792602183516,48.31036246334261
3951,3517.840012166399,199.61391072180214,864.8196047372412,361.2883945371607,48.241660881914925
3952,3519.6326615682615,199.610515797631,863.7987410287387,360.59140956186525,48.17325863772692
3953,3521.4262244829274,199.60712445122223,862.7819004705511,359.8969572148626,48.10515381705585
3954,3523.220701375908,199.60373667868063,861.7690597867091,359.20502371518893,48.037344522379506
3955,3525.0160927129564,199.6003524761159,860.7601958806189,358.5155953811035,47.96982887220479
3956,3526.8123989600613,199.59697183964158,859.755285833338,357.8286586292035,47.902605000900394
